|stars|categories
5369|5.0|{u'Graphic Design': 1, u'Professional Services': 1}
5370|2.5|{u'Party Supplies': 1, u'Event Planning & Services': 1}
5371|4.0|{u'Hotels': 1, u'Event Planning & Services': 1, u'Hotels & Travel': 1, u'Venues & Event Spaces': 1}
5372|1.0|{u'Health & Medical': 1, u'Home Health Care': 1}
5373|1.0|{u'Taxis': 1, u'Transportation': 1, u'Hotels & Travel': 1}
5374|4.5|{u'Tires': 1, u'Automotive': 1}
5375|5.0|{u'Tattoo': 1, u'Beauty & Spas': 1}
5376|5.0|{u'Heating & Air Conditioning/HVAC': 1, u'Home Services': 1, u'Local Services': 1, u'Carpet Cleaning': 1}
5377|1.5|{u'Taxis': 1, u'Transportation': 1, u'Airport Shuttles': 1, u'Hotels & Travel': 1}
5378|4.0|{u'Taxis': 1, u'Transportation': 1, u'Airport Shuttles': 1, u'Hotels & Travel': 1}
5379|4.0|{u'Plumbing': 1, u'Home Services': 1}
5380|2.0|{u'Physical Therapy': 1, u'Laboratory Testing': 1, u'Diagnostic Services': 1, u'Health & Medical': 1}
5381|2.0|{u'Heating & Air Conditioning/HVAC': 1, u'Home Services': 1}
5382|3.0|{u'Home Services': 1, u'Pool Cleaners': 1}
5383|3.5|{}
5384|2.5|{u'Local Services': 1, u'Dry Cleaning & Laundry': 1}
5385|3.0|{u'Event Planning & Services': 1, u'Hotels & Travel': 1, u'Hotels': 1}
5386|4.0|{}
5387|3.0|{u'Health & Medical': 1, u'Hospitals': 1}
5388|3.0|{u'Restaurants': 1, u'Barbeque': 1}
5389|4.0|{u'Churches': 1, u'Religious Organizations': 1}
5390|3.0|{u'Tires': 1, u'Automotive': 1}
5391|2.5|{u'Home Services': 1, u'Garage Door Services': 1, u'Contractors': 1}
5392|4.0|{u'Shopping': 1, u'Arts & Crafts': 1, u'Costumes': 1}
5393|4.5|{u'Automotive': 1, u'Auto Repair': 1}
5394|3.5|{u'Gay Bars': 1, u'Bars': 1, u'Nightlife': 1, u'Dance Clubs': 1}
5395|2.5|{u'Banks & Credit Unions': 1, u'Financial Services': 1}
5396|4.0|{u'Nail Salons': 1, u'Beauty & Spas': 1}
5397|3.5|{u'Building Supplies': 1, u'Home Services': 1}
5398|2.5|{u'Health & Medical': 1, u'Diagnostic Services': 1, u'Diagnostic Imaging': 1}
5399|4.0|{u'Food': 1, u'Department Stores': 1, u'Grocery': 1, u'Fashion': 1, u'Shopping': 1}
5400|4.5|{u'Tobacco Shops': 1, u'Shopping': 1}
5401|4.5|{u'Automotive': 1, u'Auto Repair': 1}
5402|3.5|{u'Bars': 1, u'Restaurants': 1, u'Nightlife': 1, u'Sports Bars': 1, u'Pizza': 1}
5403|4.5|{u'Pet Stores': 1, u'Pets': 1}
5404|5.0|{u'Churches': 1, u'Religious Organizations': 1}
5405|2.5|{u'Health & Medical': 1, u'Family Practice': 1, u'Doctors': 1}
5406|5.0|{u'Shipping Centers': 1, u'Local Services': 1}
5407|5.0|{u'Plumbing': 1, u'Home Services': 1, u'Contractors': 1}
5408|3.0|{u'American (Traditional)': 1, u'Bars': 1, u'Nightlife': 1, u'Restaurants': 1}
5409|1.5|{u'Restaurants': 1, u'Pizza': 1}
5410|3.5|{u'Sandwiches': 1, u'Restaurants': 1}
5411|5.0|{u'Health & Medical': 1, u'Chiropractors': 1}
5412|4.0|{u'Persian/Iranian': 1, u'Mediterranean': 1, u'Middle Eastern': 1, u'Restaurants': 1}
5413|3.5|{u'Restaurants': 1, u'Fast Food': 1}
5414|3.5|{u'Nurseries & Gardening': 1, u'Shopping': 1, u'Hardware Stores': 1, u'Appliances': 1, u'Home & Garden': 1}
5415|2.5|{u'Home Services': 1, u'Apartments': 1, u'Real Estate': 1}
5416|3.5|{u'Shopping': 1, u'Jewelry': 1}
5417|4.5|{u'Bakeries': 1, u'Food': 1}
5418|3.5|{u'Restaurants': 1, u'Chinese': 1, u'Fast Food': 1}
5419|3.5|{u'Mexican': 1, u'Restaurants': 1}
5420|4.0|{u'Shopping': 1, u'Drugstores': 1}
5421|5.0|{u'Food': 1, u'Restaurants': 1}
5422|3.5|{u'American (Traditional)': 1, u'Bars': 1, u'Nightlife': 1, u'Restaurants': 1}
5423|3.5|{u'Restaurants': 1, u'Pizza': 1}
5424|3.0|{u'Hair Salons': 1, u'Beauty & Spas': 1, u'Makeup Artists': 1, u'Day Spas': 1}
5425|4.0|{u'Chinese': 1, u'Restaurants': 1}
5426|3.5|{u'Pet Services': 1, u'Pet Groomers': 1, u'Pets': 1, u'Veterinarians': 1, u'Pet Boarding/Pet Sitting': 1}
5427|2.0|{u'Electronics': 1, u'Shopping': 1}
5428|3.5|{u'Thai': 1, u'Chinese': 1, u'Restaurants': 1}
5429|3.5|{u'Pet Services': 1, u'Pet Groomers': 1, u'Pets': 1, u'Veterinarians': 1}
5430|4.0|{u'Cheesesteaks': 1, u'Restaurants': 1}
5431|2.5|{u'Shopping': 1, u'Drugstores': 1}
5432|3.5|{u'Performing Arts': 1, u'Arts & Entertainment': 1}
5433|3.5|{u'Local Services': 1, u'Dry Cleaning & Laundry': 1}
5434|3.0|{u'Restaurants': 1, u'Mexican': 1, u'Tex-Mex': 1, u'Fast Food': 1}
5435|4.0|{u'Delis': 1, u'Sandwiches': 1, u'Restaurants': 1}
5436|5.0|{u'Automotive': 1, u'Auto Repair': 1}
5437|3.5|{u'Shopping': 1, u'Sporting Goods': 1}
5438|3.0|{u'Restaurants': 1, u'Fast Food': 1}
5439|4.5|{u'Screen Printing': 1, u'Screen Printing/T-Shirt Printing': 1, u'Printing Services': 1, u'Local Services': 1}
5440|3.0|{u'Building Supplies': 1, u'Home Services': 1, u'Flooring': 1}
5441|4.0|{u'Chinese': 1, u'Restaurants': 1}
5442|4.0|{u'Sandwiches': 1, u'Restaurants': 1}
5443|4.0|{u'Climbing': 1, u'Active Life': 1}
5444|2.5|{u'Health & Medical': 1, u'Pediatric Dentists': 1, u'Dentists': 1, u'Orthodontists': 1}
5445|2.5|{u'Automotive': 1, u'Auto Repair': 1}
5446|3.5|{u'Pubs': 1, u'Bars': 1, u'Nightlife': 1}
5447|3.5|{u'Cosmetics & Beauty Supply': 1, u'Shopping': 1, u'Beauty & Spas': 1}
5448|3.0|{u'Bars': 1, u'Dive Bars': 1, u'Nightlife': 1}
5449|3.5|{u'American (Traditional)': 1, u'Restaurants': 1, u'Fast Food': 1}
5450|3.5|{u'Restaurants': 1, u'Fast Food': 1}
5451|2.5|{u'Food': 1, u'Grocery': 1}
5452|3.0|{u'Mexican': 1, u'Restaurants': 1}
5453|3.0|{u'Sandwiches': 1, u'Restaurants': 1}
5454|3.0|{u'Golf': 1, u'Active Life': 1}
5455|3.0|{u'Automotive': 1, u'Auto Parts & Supplies': 1, u'Oil Change Stations': 1, u'Auto Repair': 1}
5456|3.5|{u'Nightlife': 1}
5457|1.5|{u'Automotive': 1, u'Auto Repair': 1}
5458|3.5|{u'Steakhouses': 1, u'Restaurants': 1}
5459|3.0|{u'Mexican': 1, u'Restaurants': 1}
5460|2.0|{u'Diners': 1, u'Restaurants': 1}
5461|2.5|{u'Restaurants': 1, u'Fast Food': 1}
5462|4.0|{u'Nurseries & Gardening': 1, u'Shopping': 1, u'Home & Garden': 1}
5463|2.5|{u'Restaurants': 1, u'Pizza': 1}
5464|4.0|{u'Electronics': 1, u'Shopping': 1}
5465|3.0|{u'Arts & Entertainment': 1, u'Cinema': 1}
5466|4.5|{u'Pet Services': 1, u'Pet Groomers': 1, u'Pets': 1}
5467|3.5|{u'Chinese': 1, u'Restaurants': 1}
5468|3.5|{u'Automotive': 1, u'Car Dealers': 1}
5469|2.5|{u'Hair Salons': 1, u'Beauty & Spas': 1}
5470|2.0|{u'Horse Boarding': 1, u'Horseback Riding': 1, u'Pets': 1, u'Active Life': 1}
5471|3.5|{u'Health & Medical': 1, u'Diagnostic Services': 1, u'Diagnostic Imaging': 1}
5472|3.5|{u'Bars': 1, u'American (New)': 1, u'Pubs': 1, u'Nightlife': 1, u'Sports Bars': 1, u'Restaurants': 1}
5473|3.0|{u'Nail Salons': 1, u'Beauty & Spas': 1}
5474|3.0|{u'Bakeries': 1, u'Grocery': 1, u'Shopping': 1, u'Florists': 1, u'Food': 1, u'Flowers & Gifts': 1}
5475|3.5|{u'Local Services': 1, u'Dry Cleaning & Laundry': 1}
5476|3.0|{u'Restaurants': 1, u'Chinese': 1, u'Fast Food': 1}
5477|3.5|{u'Barbers': 1, u'Beauty & Spas': 1}
5478|4.5|{u'Churches': 1, u'Religious Organizations': 1}
5479|3.5|{u'Restaurants': 1, u'Pizza': 1}
5480|2.0|{u'Medical Centers': 1, u'Health & Medical': 1}
5481|3.5|{u'Bars': 1, u'Italian': 1, u'Nightlife': 1, u'Wine Bars': 1, u'Restaurants': 1}
5482|4.5|{u'Mexican': 1, u'Restaurants': 1}
5483|3.5|{u'Nail Salons': 1, u'Beauty & Spas': 1}
5484|5.0|{u'Health & Medical': 1, u'Chiropractors': 1}
5485|5.0|{u'Health & Medical': 1, u'Chiropractors': 1}
5486|2.5|{u'Burgers': 1, u'Restaurants': 1, u'Fast Food': 1}
5487|4.0|{u'Food': 1, u'Coffee & Tea': 1}
5488|4.0|{u'Automotive': 1, u'Oil Change Stations': 1, u'Gas & Service Stations': 1}
5489|3.0|{u'American (Traditional)': 1, u'Bars': 1, u'Nightlife': 1, u'Restaurants': 1}
5490|2.0|{u'Health & Medical': 1, u'Doctors': 1}
5491|4.5|{u'Food': 1, u'Beer, Wine & Spirits': 1, u'Grocery': 1}
5492|4.0|{u'Health & Medical': 1, u'Dermatologists': 1, u'Doctors': 1}
5493|4.0|{u'Local Services': 1, u'Dry Cleaning & Laundry': 1}
5494|3.0|{u'Restaurants': 1, u'Mexican': 1, u'Tex-Mex': 1, u'Fast Food': 1}
5495|4.5|{u'Shopping': 1, u'Jewelry': 1}
5496|3.0|{u'Midwives': 1, u'Health & Medical': 1, u'Doctors': 1}
5497|4.0|{u'Arcades': 1, u'Arts & Entertainment': 1}
5498|5.0|{}
5499|3.5|{u'Sandwiches': 1, u'Restaurants': 1}
5500|4.0|{u'Hobby Shops': 1, u'Shopping': 1, u'Knitting Supplies': 1, u'Arts & Crafts': 1}
5501|4.5|{u'Beauty & Spas': 1, u'Day Spas': 1, u'Massage': 1, u'Skin Care': 1}
5502|2.5|{u'Banks & Credit Unions': 1, u'Financial Services': 1}
5503|3.5|{u'Sandwiches': 1, u'Restaurants': 1}
5504|2.5|{u'Department Stores': 1, u'Fashion': 1, u'Shopping': 1}
5505|3.0|{u'Health & Medical': 1, u'Obstetricians & Gynecologists': 1, u'Doctors': 1}
5506|3.5|{u'Health & Medical': 1, u'Doctors': 1}
5507|3.5|{u'Shipping Centers': 1, u'Printing Services': 1, u'Local Services': 1}
5508|4.5|{u'Pet Services': 1, u'Pets': 1, u'Veterinarians': 1, u'Pet Boarding/Pet Sitting': 1}
5509|3.5|{u'Restaurants': 1, u'Pizza': 1, u'Italian': 1}
5510|3.5|{u'Restaurants': 1, u'Sandwiches': 1, u'Pizza': 1}
5511|3.5|{u'American (Traditional)': 1, u'Casinos': 1, u'Chicken Wings': 1, u'Arts & Entertainment': 1, u'Restaurants': 1}
5512|5.0|{u'Middle Schools & High Schools': 1, u'Education': 1}
5513|4.0|{u'Restaurants': 1, u'Mexican': 1, u'Fast Food': 1}
5514|1.0|{u'Real Estate Services': 1, u'Home Services': 1, u'Property Management': 1, u'Real Estate Agents': 1, u'Real Estate': 1}
5515|3.5|{u'Food': 1, u'Grocery': 1}
5516|3.5|{u'Food': 1, u'Specialty Food': 1, u'Health Markets': 1}
5517|3.5|{u'Restaurants': 1, u'Fast Food': 1}
5518|2.0|{u'Sandwiches': 1, u'Restaurants': 1}
5519|5.0|{u'Eyewear & Opticians': 1, u'Shopping': 1}
5520|3.0|{u'Health & Medical': 1, u'Orthopedists': 1, u'Doctors': 1}
5521|4.0|{u'Restaurants': 1, u'Pizza': 1}
5522|3.5|{u'Health & Medical': 1, u'Dentists': 1, u'General Dentistry': 1}
5523|3.5|{u'Pubs': 1, u'American (Traditional)': 1, u'Bars': 1, u'Nightlife': 1, u'Restaurants': 1}
5524|3.5|{u'American (Traditional)': 1, u'Breakfast & Brunch': 1, u'Restaurants': 1}
5525|3.5|{u'Home Services': 1, u'Apartments': 1, u'Real Estate': 1}
5526|4.0|{u'Nail Salons': 1, u'Beauty & Spas': 1}
5527|3.0|{u'Event Planning & Services': 1, u'Hotels & Travel': 1, u'Hotels': 1}
5528|3.5|{u'Laboratory Testing': 1, u'Skin Care': 1, u'Beauty & Spas': 1, u'Diagnostic Services': 1, u'Health & Medical': 1, u'Doctors': 1, u'Allergists': 1}
5529|3.5|{u'Fitness & Instruction': 1, u'Gyms': 1, u'Active Life': 1}
5530|3.5|{u'Mexican': 1, u'Restaurants': 1}
5531|3.0|{u'Cosmetics & Beauty Supply': 1, u'Shopping': 1, u'Beauty & Spas': 1}
5532|5.0|{u'Beauty & Spas': 1, u'Massage': 1, u'Skin Care': 1}
5533|1.5|{u'Tires': 1, u'Automotive': 1}
5534|4.0|{u'Education': 1, u'Art Classes': 1, u'Event Planning & Services': 1, u'Party & Event Planning': 1}
5535|4.0|{u'Hair Salons': 1, u'Beauty & Spas': 1}
5536|5.0|{u'Health & Medical': 1, u'Dentists': 1, u'General Dentistry': 1}
5537|2.5|{u'Burgers': 1, u'Hot Dogs': 1, u'Restaurants': 1}
5538|3.5|{u'Food': 1, u'Ice Cream & Frozen Yogurt': 1, u'Restaurants': 1, u'Fast Food': 1}
5539|5.0|{u'Performing Arts': 1, u'Fitness & Instruction': 1, u'Dance Studios': 1, u'Arts & Entertainment': 1, u'Active Life': 1}
5540|3.5|{u'Cosmetics & Beauty Supply': 1, u'Shopping': 1, u'Drugstores': 1, u'Food': 1, u'Beauty & Spas': 1, u'Convenience Stores': 1}
5541|3.5|{u'Automotive': 1, u'Car Wash': 1, u'Gas & Service Stations': 1}
5542|3.5|{u'Chinese': 1, u'Restaurants': 1}
5543|2.5|{u'Health & Medical': 1, u'Diagnostic Services': 1, u'Diagnostic Imaging': 1, u'Radiologists': 1, u'Doctors': 1}
5544|2.0|{u'Health & Medical': 1, u'Family Practice': 1, u'Doctors': 1}
5545|4.0|{u'Hair Salons': 1, u'Beauty & Spas': 1}
5546|4.0|{u'Pets': 1, u'Veterinarians': 1}
5547|1.5|{u'Buffets': 1, u'Restaurants': 1}
5548|3.5|{u'Food': 1, u'Beer, Wine & Spirits': 1}
5549|3.5|{u'Italian': 1, u'Restaurants': 1}
5550|3.5|{u'Health & Medical': 1, u'Hospitals': 1}
5551|4.5|{u'Food': 1, u'Juice Bars & Smoothies': 1}
5552|3.5|{u'Nail Salons': 1, u'Beauty & Spas': 1}
5553|4.5|{u'Japanese': 1, u'Sushi Bars': 1, u'Restaurants': 1}
5554|4.5|{u'Nail Salons': 1, u'Beauty & Spas': 1}
5555|2.5|{u'Sandwiches': 1, u'Restaurants': 1}
5556|4.5|{u'Tires': 1, u'Automotive': 1, u'Wheel & Rim Repair': 1}
5557|2.5|{u'Home Services': 1, u'Contractors': 1}
5558|3.5|{u'Health & Medical': 1, u'Doctors': 1}
5559|2.5|{u'Health & Medical': 1, u'Ear Nose & Throat': 1, u'Doctors': 1}
5560|2.5|{u'Health & Medical': 1, u'Family Practice': 1, u'Doctors': 1}
5561|3.0|{u'American (Traditional)': 1, u'Bars': 1, u'Nightlife': 1, u'Restaurants': 1}
5562|4.0|{u'Bars': 1, u'French': 1, u'Nightlife': 1, u'Wine Bars': 1, u'Restaurants': 1}
5563|3.5|{u'Food': 1, u'Bagels': 1}
5564|4.5|{u'Restaurants': 1}
5565|3.0|{u'Restaurants': 1, u'Fast Food': 1}
5566|4.0|{u'Mexican': 1, u'Restaurants': 1}
5567|3.0|{u'Tires': 1, u'Automotive': 1, u'Auto Parts & Supplies': 1, u'Auto Repair': 1}
5568|4.0|{u'Sandwiches': 1, u'Restaurants': 1}
5569|2.5|{u'Medical Centers': 1, u'Health & Medical': 1, u'Weight Loss Centers': 1}
5570|2.5|{u'Japanese': 1, u'Restaurants': 1}
5571|3.0|{u'Hair Salons': 1, u'Beauty & Spas': 1}
5572|3.5|{u'Beauty & Spas': 1, u'Tanning': 1}
5573|3.5|{u'Shoe Repair': 1, u'Local Services': 1}
5574|4.0|{u'Restaurants': 1, u'Pizza': 1}
5575|3.5|{u'Nightlife': 1}
5576|3.0|{u'Nail Salons': 1, u'Beauty & Spas': 1}
5577|4.0|{u'Bars': 1, u'Nightlife': 1, u'Sports Bars': 1}
5578|3.0|{u'Restaurants': 1, u'Mexican': 1, u'Tex-Mex': 1, u'Fast Food': 1}
5579|2.5|{u'American (Traditional)': 1, u'Restaurants': 1, u'Fast Food': 1}
5580|5.0|{u'Accountants': 1, u'Professional Services': 1, u'Financial Services': 1, u'Tax Services': 1}
5581|3.0|{u'Automotive': 1, u'Auto Repair': 1}
5582|4.5|{u'Mexican': 1, u'Restaurants': 1}
5583|4.0|{u'Restaurants': 1, u'Mexican': 1, u'Fast Food': 1}
5584|3.5|{u'Restaurants': 1, u'Sandwiches': 1, u'Fast Food': 1}
5585|3.0|{u'Mexican': 1, u'Restaurants': 1}
5586|4.0|{u'Automotive': 1, u'Auto Parts & Supplies': 1, u'Auto Repair': 1}
5587|3.0|{u'Restaurants': 1, u'Fast Food': 1}
5588|2.0|{u'Restaurants': 1, u'Barbeque': 1}
5589|2.5|{u'Bars': 1, u'Nightlife': 1, u'Lounges': 1}
5590|2.5|{u'Restaurants': 1, u'Pizza': 1}
5591|4.0|{u'Food': 1, u'Food Delivery Services': 1, u'Restaurants': 1, u'Filipino': 1, u'American (New)': 1}
5592|4.0|{u'Restaurants': 1, u'Fast Food': 1}
5593|3.5|{u'Tattoo': 1, u'Beauty & Spas': 1, u'Tobacco Shops': 1, u'Shopping': 1}
5594|3.0|{u'Shopping': 1, u'Drugstores': 1}
5595|2.5|{u'Casinos': 1, u'Arts & Entertainment': 1, u'Restaurants': 1}
5596|3.5|{}
5597|3.5|{u'Pets': 1, u'Veterinarians': 1}
5598|4.0|{u'Food': 1, u'Caterers': 1, u'Meat Shops': 1, u'Event Planning & Services': 1, u'Specialty Food': 1}
5599|3.5|{u'American (Traditional)': 1, u'Steakhouses': 1, u'Restaurants': 1}
5600|3.5|{u'Food': 1, u'American (Traditional)': 1, u'Breweries': 1, u'Restaurants': 1}
5601|2.5|{u'Tires': 1, u'Automotive': 1, u'Auto Parts & Supplies': 1, u'Auto Repair': 1}
5602|2.5|{u'Bars': 1, u'Dive Bars': 1, u'Nightlife': 1}
5603|3.5|{u'Pet Stores': 1, u'Pets': 1}
5604|2.5|{u'Automotive': 1, u'Smog Check Stations': 1}
5605|4.5|{u'Pets': 1, u'Veterinarians': 1}
5606|3.0|{u'Medical Centers': 1, u'Health & Medical': 1}
5607|3.5|{u'Bars': 1, u'Arts & Entertainment': 1, u'Nightlife': 1, u'Music Venues': 1, u'Dive Bars': 1, u'Restaurants': 1}
5608|3.0|{u'Party & Event Planning': 1, u'Skating Rinks': 1, u'Event Planning & Services': 1, u'Active Life': 1}
5609|3.5|{u'Tires': 1, u'Automotive': 1, u'Wheel & Rim Repair': 1}
5610|3.5|{u'Arts & Entertainment': 1, u'Cinema': 1}
5611|4.0|{u'Food': 1, u'Grocery': 1}
5612|4.0|{u'Pet Services': 1, u'Pets': 1, u'Veterinarians': 1, u'Pet Boarding/Pet Sitting': 1}
5613|3.0|{u'Automotive': 1, u'Auto Repair': 1}
5614|3.0|{u'Bars': 1, u'Restaurants': 1, u'Nightlife': 1, u'Sports Bars': 1, u'Pizza': 1}
5615|5.0|{u'Pet Services': 1, u'Pets': 1, u'Veterinarians': 1, u'Pet Boarding/Pet Sitting': 1}
5616|3.5|{u'Restaurants': 1, u'Mexican': 1, u'Fast Food': 1}
5617|3.5|{u'Building Supplies': 1, u'Home Services': 1, u'Shopping': 1, u'Hardware Stores': 1, u'Home & Garden': 1}
5618|3.0|{u'Pubs': 1, u'American (Traditional)': 1, u'Bars': 1, u'Nightlife': 1, u'Restaurants': 1}
5619|3.5|{u'Tours': 1, u'Hotels & Travel': 1}
5620|4.5|{u'Bars': 1, u'Nightlife': 1, u'Sports Bars': 1}
5621|4.5|{u'Food': 1, u'Ice Cream & Frozen Yogurt': 1}
5622|2.0|{u'Restaurants': 1, u'Fast Food': 1}
5623|2.0|{u'Italian': 1, u'Pizza': 1, u'Restaurants': 1}
5624|4.0|{u'Optometrists': 1, u'Health & Medical': 1}
5625|3.0|{u'Tires': 1, u'Automotive': 1}
5626|3.5|{u'Chinese': 1, u'Restaurants': 1}
5627|2.5|{u'Chinese': 1, u'Restaurants': 1}
5628|3.5|{u'Restaurants': 1, u'Pizza': 1}
5629|3.0|{u'Used, Vintage & Consignment': 1, u'Shopping': 1, u'Fashion': 1, u'Thrift Stores': 1}
5630|2.5|{u'Food': 1, u'Convenience Stores': 1}
5631|5.0|{u'Food': 1, u'Grocery': 1}
5632|3.0|{u'Automotive': 1, u'Oil Change Stations': 1, u'Smog Check Stations': 1, u'Auto Repair': 1}
5633|4.5|{u'Churches': 1, u'Religious Organizations': 1}
5634|3.0|{u'American (Traditional)': 1, u'Burgers': 1, u'Restaurants': 1, u'Fast Food': 1}
5635|3.0|{u'Hotels': 1, u'Casinos': 1, u'Arts & Entertainment': 1, u'Hotels & Travel': 1, u'Event Planning & Services': 1}
5636|3.5|{u'Burgers': 1, u'Hot Dogs': 1, u'Restaurants': 1}
5637|5.0|{u'Automotive': 1, u'Auto Repair': 1}
5638|3.0|{u'Department Stores': 1, u'Fashion': 1, u'Shopping': 1}
5639|2.0|{u'Restaurants': 1, u'Pizza': 1}
5640|3.0|{u'Tours': 1, u'Hotels & Travel': 1}
5641|4.5|{u'Automotive': 1, u'Auto Repair': 1}
5642|3.5|{}
5643|4.5|{u'Pet Stores': 1, u'Pets': 1}
5644|3.5|{u'Restaurants': 1, u'Chicken Wings': 1, u'Sandwiches': 1, u'Pizza': 1}
5645|3.0|{u'Pets': 1, u'Veterinarians': 1}
5646|3.5|{u'Nail Salons': 1, u'Beauty & Spas': 1}
5647|5.0|{u'Wedding Planning': 1, u'Event Planning & Services': 1, u'Party & Event Planning': 1}
5648|4.0|{u'Hair Salons': 1, u'Beauty & Spas': 1, u'Day Spas': 1}
5649|4.0|{u'Food': 1, u'Coffee & Tea': 1}
5650|3.0|{u'Chinese': 1, u'Restaurants': 1}
5651|3.5|{u'Golf': 1, u'Active Life': 1}
5652|3.0|{u'Bakeries': 1, u'Food': 1, u'Grocery': 1}
5653|4.5|{u'Performing Arts': 1, u'Fitness & Instruction': 1, u'Gyms': 1, u'Trainers': 1, u'Active Life': 1, u'Arts & Entertainment': 1}
5654|3.0|{u'Shopping': 1, u'Flowers & Gifts': 1, u'Florists': 1}
5655|3.0|{u'Golf': 1, u'Active Life': 1}
5656|2.5|{u'Medical Centers': 1, u'Health & Medical': 1, u'Family Practice': 1, u'Doctors': 1}
5657|3.5|{u'Mexican': 1, u'Restaurants': 1}
5658|2.5|{u'Hair Salons': 1, u'Beauty & Spas': 1, u'Hair Stylists': 1, u'Nail Salons': 1}
5659|4.5|{u'Jewelry Repair': 1, u'Shopping': 1, u'Local Services': 1, u'Watches': 1, u'Jewelry': 1}
5660|5.0|{u'Endodontists': 1, u'Health & Medical': 1, u'Dentists': 1}
5661|3.5|{u'Fitness & Instruction': 1, u'Gyms': 1, u'Trainers': 1, u'Active Life': 1}
5662|3.5|{u'Restaurants': 1, u'Mexican': 1, u'Tex-Mex': 1, u'Fast Food': 1}
5663|5.0|{u'Health & Medical': 1, u'Dentists': 1, u'General Dentistry': 1}
5664|3.5|{u'Nail Salons': 1, u'Beauty & Spas': 1}
5665|1.0|{u'Swimming Pools': 1, u'Active Life': 1}
5666|3.5|{u'Cosmetics & Beauty Supply': 1, u'Shopping': 1, u'Drugstores': 1, u'Food': 1, u'Beauty & Spas': 1, u'Convenience Stores': 1}
5667|3.5|{u'Golf': 1, u'Active Life': 1}
5668|3.5|{u'Department Stores': 1, u'Fashion': 1, u'Shopping': 1}
5669|5.0|{u'Hair Salons': 1, u'Beauty & Spas': 1}
5670|4.5|{u'Banks & Credit Unions': 1, u'Financial Services': 1}
5671|5.0|{u'Health & Medical': 1, u'Dentists': 1, u'Cosmetic Dentists': 1, u'General Dentistry': 1}
5672|3.5|{u'Nail Salons': 1, u'Beauty & Spas': 1}
5673|3.0|{u'Mediterranean': 1, u'Restaurants': 1}
5674|3.5|{u'Restaurants': 1, u'Fast Food': 1}
5675|3.5|{u'Car Rental': 1, u'Hotels & Travel': 1}
5676|3.0|{u'Automotive': 1, u'Car Wash': 1}
5677|4.0|{u'Nail Salons': 1, u'Beauty & Spas': 1}
5678|1.5|{}
5679|3.5|{u'Food': 1, u'Ice Cream & Frozen Yogurt': 1}
5680|4.0|{u'Beauty & Spas': 1, u'Tanning': 1, u'Day Spas': 1}
5681|3.5|{u'Cosmetics & Beauty Supply': 1, u'Shopping': 1, u'Drugstores': 1, u'Food': 1, u'Beauty & Spas': 1, u'Convenience Stores': 1}
5682|3.5|{u'Golf': 1, u'Active Life': 1}
5683|4.5|{u'Restaurants': 1}
5684|1.0|{u'Restaurants': 1, u'Fast Food': 1}
5685|3.5|{u'Food': 1, u'Grocery': 1}
5686|4.0|{u'Restaurants': 1, u'Fast Food': 1}
5687|3.0|{u'Health & Medical': 1, u'Obstetricians & Gynecologists': 1, u'Doctors': 1}
5688|3.0|{u'Health & Medical': 1, u'Hospitals': 1}
5689|2.5|{u'Health & Medical': 1, u'Doctors': 1}
5690|3.5|{u'Health & Medical': 1, u'Family Practice': 1, u'Doctors': 1}
5691|5.0|{u'Health & Medical': 1, u'Dentists': 1, u'General Dentistry': 1}
5692|4.5|{u'Churches': 1, u'Religious Organizations': 1}
5693|2.5|{u'Health & Medical': 1, u'Obstetricians & Gynecologists': 1, u'Doctors': 1}
5694|5.0|{u'Oral Surgeons': 1, u'General Dentistry': 1, u'Dentists': 1, u'Health & Medical': 1}
5695|4.0|{u'Health & Medical': 1, u'Obstetricians & Gynecologists': 1, u'Doctors': 1}
5696|3.0|{u'Health & Medical': 1, u'Family Practice': 1, u'Pediatricians': 1, u'Doctors': 1}
5697|3.5|{u'Restaurants': 1, u'Fast Food': 1}
5698|4.0|{u'Elementary Schools': 1, u'Education': 1, u'Preschools': 1, u'Local Services': 1, u'Child Care & Day Care': 1}
5699|2.5|{u'Food': 1, u'Convenience Stores': 1}
5700|4.0|{u'Restaurants': 1}
5701|3.5|{u'Italian': 1, u'Restaurants': 1}
5702|4.5|{u'Beauty & Spas': 1, u'Massage': 1, u'Skin Care': 1}
5703|3.5|{u'Chinese': 1, u'Restaurants': 1}
5704|3.5|{u'Beauty & Spas': 1, u'Day Spas': 1}
5705|5.0|{u'Furniture Stores': 1, u'Shopping': 1, u'Home & Garden': 1}
5706|4.0|{u'Thai': 1, u'Restaurants': 1}
5707|3.5|{u'Bridal': 1, u'Fashion': 1, u'Shopping': 1, u'Formal Wear': 1}
5708|3.5|{u'Physical Therapy': 1, u'Health & Medical': 1}
5709|3.5|{u'Tires': 1, u'Automotive': 1, u'Car Dealers': 1, u'Auto Repair': 1}
5710|4.0|{u'Health & Medical': 1, u'Diagnostic Services': 1, u'Diagnostic Imaging': 1}
5711|2.5|{u'Department Stores': 1, u'Fashion': 1, u'Shopping': 1}
5712|4.0|{u'Restaurants': 1, u'Gluten-Free': 1, u'Pizza': 1}
5713|4.5|{u'Shopping': 1, u'Fabric Stores': 1, u'Arts & Crafts': 1, u'Embroidery & Crochet': 1}
5714|4.0|{u'Health & Medical': 1, u'Dentists': 1, u'General Dentistry': 1}
